datetime_utc,dry_bulb_c
1986-12-20T07:45:00.000000+0000,-5.0
1986-12-20T08:45:00.000000+0000,-4.0
1986-12-20T09:45:00.000000+0000,-4.0
1986-12-20T10:45:00.000000+0000,-3.0
1986-12-20T11:45:00.000000+0000,-4.0
1986-12-20T12:45:00.000000+0000,-4.0
1986-12-20T13:45:00.000000+0000,-3.0
1986-12-21T15:45:00.000000+0000,-2.0
1986-12-21T16:45:00.000000+0000,-2.0
1986-12-21T17:45:00.000000+0000,-3.0
1986-12-22T06:45:00.000000+0000,-1.0
1986-12-22T08:45:00.000000+0000,-2.0
1986-12-22T09:45:00.000000+0000,-1.0
1986-12-22T14:45:00.000000+0000,-1.0
1986-12-22T15:45:00.000000+0000,-1.0
1986-12-22T16:45:00.000000+0000,-1.0
1986-12-22T17:45:00.000000+0000,-1.0
1986-12-23T06:45:00.000000+0000,-2.0
1986-12-23T07:45:00.000000+0000,-2.0
1986-12-23T08:45:00.000000+0000,-3.0
1986-12-23T09:45:00.000000+0000,-4.0
1986-12-23T14:45:00.000000+0000,-3.0
1986-12-23T15:45:00.000000+0000,-3.0
1986-12-23T16:45:00.000000+0000,-3.0
1986-12-23T17:45:00.000000+0000,-1.0
1986-12-24T06:45:00.000000+0000,-1.0
1986-12-24T07:45:00.000000+0000,-1.0
1986-12-24T08:45:00.000000+0000,-1.0
1986-12-24T09:45:00.000000+0000,-1.0
1986-12-26T14:20:00.000000+0000,0.0
1986-12-27T11:45:00.000000+0000,0.0
1986-12-27T12:45:00.000000+0000,1.0
1986-12-27T13:45:00.000000+0000,0.0
1986-12-28T13:45:00.000000+0000,-1.0
1986-12-28T14:45:00.000000+0000,-1.0
1986-12-28T15:45:00.000000+0000,-1.0
1986-12-28T16:45:00.000000+0000,-2.0
1986-12-29T07:45:00.000000+0000,-2.0
1986-12-29T08:45:00.000000+0000,-3.0
1986-12-29T09:45:00.000000+0000,-4.0
1986-12-29T14:45:00.000000+0000,-5.0
1986-12-29T15:45:00.000000+0000,-5.0
1986-12-29T16:45:00.000000+0000,-5.0
1986-12-29T17:45:00.000000+0000,-5.0
1986-12-30T06:45:00.000000+0000,-5.0
1986-12-30T07:45:00.000000+0000,-5.0
1986-12-30T08:45:00.000000+0000,-4.0
1986-12-30T09:45:00.000000+0000,-4.0
1986-12-30T14:45:00.000000+0000,-3.0
1986-12-30T15:45:00.000000+0000,-4.0
1986-12-30T16:45:00.000000+0000,-3.0
1986-12-31T08:45:00.000000+0000,-5.0
1987-01-01T14:45:00.000000+0000,-1.0
1987-01-01T15:45:00.000000+0000,-2.0
1987-01-01T16:45:00.000000+0000,-3.0
1987-01-02T06:45:00.000000+0000,-2.0
1987-01-02T07:45:00.000000+0000,-3.0
1987-01-02T08:45:00.000000+0000,-3.0
1987-01-02T09:45:00.000000+0000,-2.0
1987-01-02T10:50:00.000000+0000,-2.0
1987-01-02T11:45:00.000000+0000,-1.0
1987-01-02T12:45:00.000000+0000,-1.0
1987-01-02T13:45:00.000000+0000,-1.0
1987-01-02T14:45:00.000000+0000,-1.0
1987-01-02T15:45:00.000000+0000,-1.0
1987-01-02T16:45:00.000000+0000,-2.0
1987-01-02T17:45:00.000000+0000,-2.0
1987-01-03T06:45:00.000000+0000,-1.0
1987-01-03T07:45:00.000000+0000,-2.0
1987-01-03T09:45:00.000000+0000,-1.0
1987-01-03T10:45:00.000000+0000,0.0
1987-01-03T11:45:00.000000+0000,-1.0
1987-01-03T12:45:00.000000+0000,-1.0
1987-01-03T13:45:00.000000+0000,-2.0
1987-01-04T15:45:00.000000+0000,-4.0
1987-01-04T16:45:00.000000+0000,-4.0
1987-01-04T17:45:00.000000+0000,-4.0
1987-01-05T06:45:00.000000+0000,-6.0
1987-01-05T07:45:00.000000+0000,-6.0
1987-01-05T09:45:00.000000+0000,-6.0
1987-01-05T10:45:00.000000+0000,-6.0
1987-01-05T11:45:00.000000+0000,-7.0
1987-01-05T13:50:00.000000+0000,-6.0
1987-01-05T14:50:00.000000+0000,-7.0
1987-01-05T15:50:00.000000+0000,-7.0
1987-01-05T17:50:00.000000+0000,-7.0
1987-01-05T18:50:00.000000+0000,-7.0
1987-01-06T06:50:00.000000+0000,-7.0
1987-01-06T09:50:00.000000+0000,-7.0
1987-01-06T10:50:00.000000+0000,-7.0
1987-01-06T11:50:00.000000+0000,-7.0
1987-01-06T12:50:00.000000+0000,-7.0
1987-01-06T13:45:00.000000+0000,-7.0
1987-01-06T14:45:00.000000+0000,-7.0
1987-01-06T15:45:00.000000+0000,-7.0
1987-01-06T16:45:00.000000+0000,-7.0
1987-01-06T17:50:00.000000+0000,-6.0
1987-01-06T18:45:00.000000+0000,-5.0
1987-01-07T06:45:00.000000+0000,-2.0
1987-01-07T14:45:00.000000+0000,0.0
1987-01-07T15:45:00.000000+0000,0.0
1987-01-07T16:45:00.000000+0000,0.0
1987-01-07T17:45:00.000000+0000,0.0
1987-01-08T06:50:00.000000+0000,-8.0
1987-01-08T07:50:00.000000+0000,-9.0
1987-01-08T09:50:00.000000+0000,-9.0
1987-01-08T10:50:00.000000+0000,-10.0
1987-01-08T11:50:00.000000+0000,-10.0
1987-01-08T12:50:00.000000+0000,-11.0
1987-01-08T13:45:00.000000+0000,-10.0
1987-01-08T14:45:00.000000+0000,-10.0
1987-01-08T15:45:00.000000+0000,-9.0
1987-01-08T16:45:00.000000+0000,-9.0
1987-01-08T17:45:00.000000+0000,-8.0
1987-01-08T18:45:00.000000+0000,-9.0
1987-01-09T06:45:00.000000+0000,-10.0
1987-01-09T07:45:00.000000+0000,-10.0
1987-01-09T08:45:00.000000+0000,-9.0
1987-01-09T09:45:00.000000+0000,-9.0
1987-01-09T10:45:00.000000+0000,-9.0
1987-01-09T11:45:00.000000+0000,-10.0
1987-01-09T12:45:00.000000+0000,-9.0
1987-01-09T14:50:00.000000+0000,-8.0
1987-01-09T15:50:00.000000+0000,-9.0
1987-01-09T16:50:00.000000+0000,-9.0
1987-01-09T17:50:00.000000+0000,-9.0
1987-01-09T18:50:00.000000+0000,-9.0
1987-01-10T06:50:00.000000+0000,-8.0
1987-01-10T07:50:00.000000+0000,-8.0
